nib,nib0,nib1,nib2,nib3,format,path,type,lowMipC,highMipC,mipCdiff,byteDif,compressed,lowX,lowY,minX,minY
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Library\Decal\001\Capcom\CC_dirt_00_D\CC_dirt_00_D_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Library\Decal\001\Megascans\decals_blood_se1kfffp_00_D\MS_se1kfffp_00_D_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\Character\ch90\002\0000\textures\PartsBreak\ch90_002_0000_BrokenWingBlend_1002_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\Character\ch90\002\0000\textures\PartsBreak\ch90_002_0000_BrokenWingBlend_1003_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\Character\ch90\002\5000\textures\ch90_002_5000_BrokenWingBlend_1002_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\Character\ch90\002\5000\textures\ch90_002_5000_BrokenWingBlend_1003_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\Character\ch90\005\0000\textures\PartsBreak\ch90_005_0000_BrokenWing_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\Character\ch90\008\0000\textures\PartsBreak\ch90_008_0000_BreakEar_1001_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\Character\ch90\009\0000\textures\PartsBreak\ch90_009_0000_body_PB_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\Character\ch90\070\0000\textures\ch90_070_0000_poison_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\Character\ch90\070\0000\textures\PartsBreak\ch90_070_0000_body_PB_1001_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\Character\ch90\070\0000\textures\PartsBreak\ch90_070_0000_body_PB_1002_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\Character\ch90\070\0000\textures\PartsBreak\ch90_070_0000_poison_PB_1001_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
101A0000|00100000,1,0,1,A,BC7UNORMSRGB,D:\Wilds\re_chunk_000\natives\STM\Art\Model\Character\ch90\071\0000\textures\PartsBreak\ch90_071_0000_PB_ALBA.tex.241106027,ALBA,3,8,5,5,1,32,64,8,16
